title,"count TW","count total",key,publisher,url
"Crustacea specimens of Ryukyu University Museum (Fujukan)",109,2204,da27a3b0-5b28-4e4a-9742-dfc77a1e539f,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/da27a3b0-5b28-4e4a-9742-dfc77a1e539f
"Colección de Entomología - Hymenoptera - Chalcidoidea",1,2082,feb769dd-6096-4b25-8a69-9ece3a9e4b66,"Facultad de Ciencias Naturales y Museo - U.N.L.P.",https://www.gbif.org/dataset/feb769dd-6096-4b25-8a69-9ece3a9e4b66
"Collections de coquilles continentales du Muséum d'histoire naturelle de Grenoble",1,2039,cf7fbc99-de82-41a5-aa01-4461a33e9b55,"Muséum d'Histoire naturelle de Grenoble",https://www.gbif.org/dataset/cf7fbc99-de82-41a5-aa01-4461a33e9b55
"Mollusk Collection of Yokosuka City Museum",28,2000,80dcfbe6-f762-11e1-a439-00145eb45e9a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/80dcfbe6-f762-11e1-a439-00145eb45e9a
"Global caridean shrimp fauna",293,1965,5221e970-757c-43cb-bdd4-2f085bf36ae4,BioFresh,https://www.gbif.org/dataset/5221e970-757c-43cb-bdd4-2f085bf36ae4
"Yeast Collection in BCRC",336,1920,b10eb8b0-6091-11de-a447-b8a03c50a862,"Bioresource Collection and Research Center (BCRC)",https://www.gbif.org/dataset/b10eb8b0-6091-11de-a447-b8a03c50a862
"Cnidaria Collection of the Seto Marine Biological Laboratory, Kyoto University",19,1896,5358d8ac-18f5-11e2-98fb-00145eb45e9a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/5358d8ac-18f5-11e2-98fb-00145eb45e9a
"Mushroom Collection in BCRC",1276,1874,0b1c69fb-96de-438b-afe7-24a7a19a7b85,"Bioresource Collection and Research Center (BCRC)",https://www.gbif.org/dataset/0b1c69fb-96de-438b-afe7-24a7a19a7b85
"Mushroom Collection in BCRC",1261,1867,88170cf0-6091-11de-a447-b8a03c50a862,"Bioresource Collection and Research Center (BCRC)",https://www.gbif.org/dataset/88170cf0-6091-11de-a447-b8a03c50a862
"Yeast Collection in BCRC",329,1839,994c1c46-9837-4548-869d-8f69668e245a,"Bioresource Collection and Research Center (BCRC)",https://www.gbif.org/dataset/994c1c46-9837-4548-869d-8f69668e245a
"ECOT EcoTarium Ornithology Collection",1,1804,4da5c45a-54be-4de3-bf51-9d1bbe1f43b6,"Worcester Society of Natural History d.b.a. EcoTarium",https://www.gbif.org/dataset/4da5c45a-54be-4de3-bf51-9d1bbe1f43b6
"Cratacea specimens of Wakayama Prefectural Museum of Natural History",65,1750,675442df-956e-4714-8e78-903a1060f15b,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/675442df-956e-4714-8e78-903a1060f15b
